price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
1000,2005,ford,explorer,good,6,gas,185000,clean,manual,4wd,mid-size,SUV,brown,wi
1000,2008,chevrolet,cobalt,fair,4,gas,170000,clean,automatic,fwd,full-size,sedan,blue,wi
1100,2001,saturn,sc2,fair,4,gas,241913,clean,automatic,fwd,compact,coupe,yellow,wi
1100,2004,pontiac,grand prix,fair,6,gas,142000,clean,automatic,fwd,full-size,sedan,silver,wi
1100,1999,jeep,cherokee,fair,6,gas,211000,clean,automatic,4wd,full-size,truck,green,wi
1100,2002,toyota,sienna le,good,6,gas,265000,clean,automatic,fwd,mid-size,mini-van,blue,wi
1150,2005,chevrolet,cavalier ls,good,6,gas,170000,clean,automatic,fwd,mid-size,coupe,silver,wi
1150,2003,jeep,liberty,fair,6,gas,190000,clean,automatic,4wd,mid-size,SUV,green,wi
1200,2004,chevrolet,impala,good,6,gas,205000,clean,automatic,fwd,full-size,sedan,silver,wi
1200,1997,dodge,dakota,fair,8,gas,155000,clean,automatic,4wd,mid-size,pickup,red,wi
1250,1999,honda,civic ex,good,4,gas,250717,clean,manual,fwd,compact,coupe,silver,wi
1350,1997,chevrolet,lumina,good,4,gas,70000,clean,automatic,fwd,full-size,sedan,green,wi
1500,2006,buick,lacrosse,good,6,gas,214000,clean,automatic,fwd,full-size,sedan,white,wi
1500,2007,kia,spectra,good,6,gas,150000,clean,automatic,fwd,compact,sedan,silver,wi
1500,2002,audi,a6,good,6,gas,194500,clean,automatic,4wd,mid-size,sedan,silver,wi
1500,2003,pontiac,grand am,good,6,gas,183000,clean,automatic,fwd,mid-size,sedan,silver,wi
1500,2001,dodge,grand caravan sport,good,6,gas,160,clean,automatic,fwd,mid-size,mini-van,red,wi
1500,2001,dodge,grand caravan sport,good,6,gas,160,clean,automatic,fwd,mid-size,mini-van,red,wi
1500,2001,dodge,grand caravan,good,6,gas,160000,clean,automatic,fwd,mid-size,mini-van,red,wi
1500,1999,toyota,sienna ce,fair,6,gas,190000,clean,automatic,fwd,full-size,mini-van,green,wi
1500,2003,dodge,grand caravan sport,fair,6,gas,150000,clean,automatic,fwd,full-size,mini-van,blue,wi
1500,2001,dodge,dakota 4x4,fair,6,gas,39900,clean,manual,4wd,mid-size,truck,blue,wi
1500,1997,chevrolet,1500,fair,6,gas,199000,clean,automatic,4wd,full-size,truck,black,wi
1595,2000,toyota,celica,good,4,gas,260000,clean,automatic,fwd,compact,hatchback,black,wi
1600,2002,honda,odyssey ex,excellent,6,gas,210000,clean,automatic,fwd,mid-size,mini-van,green,wi
1600,2005,dodge,caravan,good,4,gas,162863,clean,automatic,fwd,full-size,mini-van,blue,wi
1700,1998,chevrolet,tahoe lt,good,8,gas,197500,clean,automatic,rwd,full-size,SUV,white,wi
1700,2005,hyundai,elantra,fair,4,gas,190000,clean,manual,fwd,mid-size,sedan,silver,wi
1700,2006,ford,freestar sel,good,6,gas,130000,clean,automatic,fwd,mid-size,mini-van,red,wi
1700,2006,ford,freestar sel,good,6,gas,130000,clean,automatic,fwd,mid-size,mini-van,red,wi
1700,2002,chevrolet,impala,good,6,gas,170000,clean,automatic,fwd,full-size,sedan,black,wi
1750,2001,pontiac,montana,good,6,gas,136000,clean,automatic,fwd,full-size,van,red,wi
1750,2005,ford,ranger,good,6,gas,253000,clean,automatic,rwd,mid-size,pickup,red,wi
1750,2004,chrysler,pt cruiser limited,good,4,gas,156267,clean,automatic,fwd,mid-size,hatchback,purple,wi
1800,2006,toyota,scion,good,4,gas,160000,clean,automatic,fwd,full-size,sedan,white,wi
1800,2007,saturn,ion 2,good,4,gas,196829,clean,automatic,fwd,compact,sedan,silver,wi
1800,2006,ford,freestar sel,good,6,gas,130,clean,automatic,fwd,mid-size,mini-van,red,wi
1800,2006,ford,freestar sel,good,6,gas,130000,clean,automatic,fwd,mid-size,mini-van,red,wi
1800,2003,chevrolet,venture,excellent,6,gas,190000,clean,automatic,fwd,full-size,mini-van,brown,wi
1800,2003,gmc,envoy 4x4,good,6,gas,244000,clean,automatic,4wd,mid-size,SUV,blue,wi
1800,2005,chrysler,town & country,good,6,gas,158000,clean,automatic,fwd,full-size,mini-van,black,wi
1900,2003,buick,rendezvous,fair,6,gas,160000,clean,automatic,fwd,full-size,SUV,white,wi
1900,2004,chevrolet,trailblazer,good,6,gas,230000,clean,automatic,4wd,mid-size,SUV,red,wi
1900,2001,toyota,celica gt,good,4,gas,211688,clean,manual,fwd,compact,hatchback,red,wi
1950,2003,pontiac,vibe,good,4,gas,177083,clean,manual,fwd,compact,hatchback,red,wi
1975,1997,saturn,sl.,good,4,gas,116000,clean,automatic,fwd,compact,sedan,brown,wi
1995,2006,mazda,6 v6,good,6,gas,72000,clean,manual,4wd,full-size,sedan,grey,wi
1995,2000,dodge,dakota slt quad cab,good,8,gas,191000,clean,automatic,4wd,full-size,pickup,black,wi
1999,2000,toyota,camry,good,4,gas,175000,clean,automatic,fwd,mid-size,sedan,silver,wi
2000,2004,saturn,l300,good,6,gas,190000,clean,automatic,fwd,mid-size,sedan,silver,wi
2000,2003,honda,accord ex (4 door),fair,6,gas,197000,clean,automatic,fwd,full-size,sedan,grey,wi
2000,2006,nissan,altima 2.5 s,good,4,gas,203000,clean,automatic,fwd,full-size,sedan,grey,wi
2000,2002,jeep,grand cherokee laredo,fair,6,gas,165000,clean,automatic,4wd,mid-size,SUV,blue,wi
2000,2007,pontiac,vibe,fair,4,gas,230000,clean,automatic,fwd,compact,hatchback,blue,wi
2000,1998,acura,cl,excellent,4,gas,193000,clean,manual,fwd,compact,coupe,black,wi
2000,2009,hyundai,sonata,good,4,gas,215208,clean,automatic,fwd,mid-size,sedan,black,wi
2100,1998,gmc,jimmy,good,6,gas,145100,clean,automatic,4wd,mid-size,SUV,white,wi
2100,2008,ford,crown victoria police,good,8,gas,135000,clean,automatic,rwd,full-size,sedan,blue,wi
